LID Summary

6694 LID(s) in Fabric:
   LID(Range) NodeGUID          Port Type Name
0x0071        0x0011750102754238   0 SW s419-L
0x0072        0x00117501027540bb   0 SW s418-L
0x0073        0x0011750102754dd5   0 SW core1 L114B
0x0074        0x001175010275576f   0 SW core1 L124B
0x0075        0x0011750102754193   0 SW core1 L122B
0x0076        0x00117501027549f0   0 SW core1 L120B
0x0077        0x001175010275418d   0 SW core1 L118B
0x0078        0x00117501027557f2   0 SW core1 L116B
0x0079        0x001175010277979f   0 SW core1 L102A
0x007a        0x0011750102755480   0 SW core1 L124A
0x007b        0x0011750102754d5c   0 SW core1 L122A
0x007c        0x00117501027549e4   0 SW core1 L120A
0x007d        0x00117501027548bc   0 SW core1 L118A
0x007e        0x001175010275435f   0 SW core1 L116A
0x007f        0x00117501027549f6   0 SW core1 L114A
0x0080        0x001175010275433a   0 SW core1 L112A
0x0081        0x0011750102754b45   0 SW core1 L110A
0x0082        0x0011750102754dd1   0 SW core1 L108A
0x0083        0x0011750102779317   0 SW core1 L106A
0x0084        0x001175010275574a   0 SW core1 L104A
0x0085        0x0011750102755203   0 SW core1 L112B
0x0086        0x0011750102754190   0 SW core1 L110B
0x0087        0x0011750102755458   0 SW core1 L108B
0x0088        0x00117501027790e8   0 SW core1 L106B
0x0089        0x0011750102755321   0 SW core1 L104B
0x008a        0x001175010277893a   0 SW core1 L102B
0x008b        0x00117501027797c7   0 SW core1 L113B
0x008c        0x00117501027797e1   0 SW core1 L123B
0x008d        0x00117501027544b2   0 SW core1 L121B
0x008e        0x0011750102779513   0 SW core1 L119B
0x008f        0x001175010277881f   0 SW core1 L117B
0x0090        0x00117501027ab70e   0 SW core1 L115B
0x0091        0x0011750102754d87   0 SW core1 L101A
0x0092        0x00117501027797f9   0 SW core1 L123A
0x0093        0x00117501027b6b6a   0 SW core1 L121A
0x0094        0x001175010277952c   0 SW core1 L119A
0x0095        0x0011750102779528   0 SW core1 L117A
0x0096        0x00117501027543ad   0 SW core1 L115A
0x0097        0x001175010277894f   0 SW core1 L113A
0x0098        0x0011750102754e01   0 SW core1 L111A
0x0099        0x00117501027542ed   0 SW core1 L109A
0x009a        0x00117501027793a9   0 SW core1 L107A
0x009b        0x001175010275450b   0 SW core1 L105A
0x009c        0x0011750102779122   0 SW core1 L103A
0x009d        0x00117501027554c6   0 SW core1 L111B
0x009e        0x0011750102754085   0 SW core1 L109B
0x009f        0x001175010171ce25   1 FI c415-083 hfi1_0
0x00a0        0x001175010176744c   1 FI c415-084 hfi1_0
0x00a1        0x001175010171c0a5   1 FI c415-093 hfi1_0
0x00a2        0x001175010171cd96   1 FI c415-091 hfi1_0
0x00a3        0x001175010171cba1   1 FI c415-082 hfi1_0
0x00a4        0x001175010171cda5   1 FI c415-081 hfi1_0
0x00a5        0x001175010171c8a3   1 FI c415-072 hfi1_0
0x00a6        0x001175010171cb9b   1 FI c415-071 hfi1_0
0x00a7        0x001175010171c074   1 FI c415-094 hfi1_0
0x00a8        0x0011750101766858   1 FI c415-103 hfi1_0
0x00a9        0x0011750101767396   1 FI c415-104 hfi1_0
0x00aa        0x001175010171d10c   1 FI c415-113 hfi1_0
0x00ab        0x001175010171c068   1 FI c415-114 hfi1_0
0x00ac        0x001175010171cb2f   1 FI c415-112 hfi1_0
0x00ad        0x001175010171823e   1 FI c415-111 hfi1_0
0x00ae        0x0011750101760028   1 FI c415-102 hfi1_0
0x00af        0x001175010176002b   1 FI c415-101 hfi1_0
0x00b0        0x001175010171c883   1 FI c415-092 hfi1_0
0x00b1        0x001175010171aa18   1 FI c415-123 hfi1_0
0x00b2        0x0011750101718ea0   1 FI c415-124 hfi1_0
0x00b3        0x001175010171ccc9   1 FI c415-133 hfi1_0
0x00b4        0x001175010171cd72   1 FI c415-134 hfi1_0
0x00b5        0x001175010171cceb   1 FI c415-132 hfi1_0
0x00b6        0x001175010171cadc   1 FI c415-131 hfi1_0
0x00b7        0x001175010176dfdf   1 FI c415-122 hfi1_0
0x00b8        0x001175010171815f   1 FI c415-121 hfi1_0
0x00b9        0x001175010173e136   1 FI c416-073 hfi1_0
0x00ba        0x001175010171ab05   1 FI c416-074 hfi1_0
0x00bb        0x0011750102754421   0 SW core6 L101B
0x00bc        0x001175010171aad5   1 FI c416-083 hfi1_0
0x00bd        0x001175010171aaf4   1 FI c416-084 hfi1_0
0x00be        0x001175010171aaa6   1 FI c416-093 hfi1_0
0x00bf        0x001175010171ab6a   1 FI c416-091 hfi1_0
0x00c0        0x0011750101718ece   1 FI c416-082 hfi1_0
0x00c1        0x001175010171a7c3   1 FI c416-081 hfi1_0
0x00c2        0x001175010171d772   1 FI c416-072 hfi1_0
0x00c3        0x001175010171aaec   1 FI c416-071 hfi1_0
0x00c4        0x001175010176dc20   1 FI c416-094 hfi1_0
0x00c5        0x001175010173e17f   1 FI c416-103 hfi1_0
0x00c6        0x0011750101718e88   1 FI c416-104 hfi1_0
0x00c7        0x0011750101718145   1 FI c416-113 hfi1_0
0x00c8        0x0011750101718f1b   1 FI c416-114 hfi1_0
0x00c9        0x0011750101718f35   1 FI c416-112 hfi1_0
0x00ca        0x0011750101718b9e   1 FI c416-111 hfi1_0
0x00cb        0x001175010171aaa9   1 FI c416-102 hfi1_0
0x00cc        0x001175010171ab70   1 FI c416-101 hfi1_0
0x00cd        0x00117501010dd2f6   1 FI c416-092 hfi1_0
0x00ce        0x0011750101718139   1 FI c416-123 hfi1_0
0x00cf        0x001175010171a9fe   1 FI c416-124 hfi1_0
0x00d0        0x001175010171a9b5   1 FI c416-133 hfi1_0
0x00d1        0x001175010176df0d   1 FI c416-134 hfi1_0
0x00d2        0x001175010171a95a   1 FI c416-132 hfi1_0
0x00d3        0x001175010176f433   1 FI c416-131 hfi1_0
0x00d4        0x0011750101708259   1 FI c416-122 hfi1_0
0x00d5        0x00117501010dd147   1 FI c416-121 hfi1_0
0x00d6        0x0011750101718e80   1 FI c417-073 hfi1_0
0x00d7        0x001175010171839f   1 FI c417-074 hfi1_0
0x00d8        0x001175010171a77a   1 FI c417-083 hfi1_0
0x00d9        0x001175010170826b   1 FI c417-084 hfi1_0
0x00da        0x0011750101718f32   1 FI c417-093 hfi1_0
0x00db        0x001175010171a732   1 FI c417-091 hfi1_0
0x00dc        0x00117501010dd3b1   1 FI c417-082 hfi1_0
0x00dd        0x001175010171a799   1 FI c417-081 hfi1_0
0x00de        0x001175010275489a   0 SW core6 S207B
0x00df        0x0011750102754b8b   0 SW core6 S206B
0x00e0        0x001175010171aab9   1 FI c417-072 hfi1_0
0x00e1        0x0011750101718142   1 FI c417-071 hfi1_0
0x00e2        0x001175010171a960   1 FI c417-094 hfi1_0
0x00e3        0x0011750101708240   1 FI c417-103 hfi1_0
0x00e4        0x0011750101718b98   1 FI c417-104 hfi1_0
0x00e5        0x001175010171b55b   1 FI c417-113 hfi1_0
0x00e6        0x0011750101718ee0   1 FI c417-114 hfi1_0
0x00e7        0x001175010173e171   1 FI c417-112 hfi1_0
0x00e8        0x0011750101718f42   1 FI c417-111 hfi1_0
0x00e9        0x0011750101718f26   1 FI c417-102 hfi1_0
0x00ea        0x00117501010dcd7f   1 FI c417-101 hfi1_0
0x00eb        0x001175010171a73d   1 FI c417-092 hfi1_0
